Cenario,Band,RTT,Sent,Retrans,Lost,Time
364,1.619,0.0989,14201,1115,4,106.130
365,1.677,0.0929,14201,1110,4,108.128
366,1.697,0.0908,14202,963,4,101.253
367,1.721,0.0991,14202,912,3,99.841
368,1.922,0.0870,14201,1024,3,89.401
369,2.088,0.0903,14202,1000,3,82.295
370,2.243,0.0889,14201,705,3,76.612
371,2.272,0.0815,14202,961,3,75.630
372,2.274,0.0910,14201,956,3,75.565
373,2.480,0.8441,14200,906,3,69.293
374,2.584,0.0785,14201,899,3,68.417
375,2.598,0.0923,14201,888,3,66.143
376,2.653,0.0950,14201,882,3,64.773
377,2.675,0.0672,14202,800,3,64.237
378,2.774,0.0824,14201,815,3,63.591
379,2.984,0.0926,14201,718,3,59.413
380,3.237,0.1017,14201,506,2,53.088
381,3.270,0.0889,14201,626,3,52.549
382,3.311,0.9104,14201,483,2,51.902
383,3.354,0.0918,14201,608,2,51.236
384,3.420,0.0886,14200,479,2,50.247
385,3.448,0.0977,14200,472,2,49.839
386,3.557,0.9474,14201,472,2,48.312
387,3.627,0.1021,14202,605,2,47.380
388,3.674,0.0827,14201,581,2,46.775
389,3.787,0.8993,14201,538,2,45.382
390,3.814,0.0877,14201,575,2,45.059
391,3.893,0.0926,14201,587,2,44.144
392,4.114,0.0939,14200,589,2,41.773
393,4.376,0.0959,14201,463,2,39.273
394,4.456,0.1057,14200,551,2,38.568
395,4.498,0.1008,14202,478,2,38.207
396,4.545,0.0967,14201,573,2,37.815
397,4.675,0.0940,14201,524,2,36.762
398,4.744,0.7756,14202,587,2,36.227
399,4.793,0.1036,14201,478,2,35.857
400,4.817,0.1017,14201,581,2,35.678
401,4.822,0.9244,14201,576,2,35.639
402,4.828,0.0941,14201,456,2,35.595
403,4.874,0.0959,14200,521,2,35.260
404,4.961,0.0898,14200,548,2,34.641
405,0.465,0.7966,14203,1361,4,369.496
406,0.578,0.0881,14202,950,4,297.260
407,0.773,0.0939,14201,1134,4,222.273
408,0.879,0.1064,14201,1045,4,195.579
409,0.961,0.0854,14201,1010,4,178.799
410,0.990,0.0833,14202,1115,4,173.556
411,1.154,0.0891,14201,1260,4,148.892
412,1.160,0.0943,14201,1272,4,148.123
413,1.229,0.1026,14201,1107,4,139.805
414,1.619,0.0913,14201,1114,4,106.132
415,1.677,0.0922,14202,1063,4,102.461
416,1.697,0.0999,14202,918,3,101.253
417,1.721,0.10826,14203,1066,4,99.840
418,1.922,0.0976,14202,1025,3,89.402
419,2.088,0.0929,14201,998,3,82.293
420,2.243,0.1012,14201,896,3,76.610
421,2.272,0.0930,14202,967,3,75.635
422,2.274,0.0916,14202,959,3,75.565
423,2.480,0.0914,14201,699,3,69.287
424,2.584,0.0974,14201,911,3,66.499
425,2.598,0.0873,14200,943,3,68.207
426,2.653,0.11175,14201,876,3,64.772
427,2.675,0.0852,14201,841,3,65.951
428,2.774,0.0819,14201,815,3,63.586
429,2.984,0.10302,14201,715,3,57.587
430,3.237,0.0890,14201,485,2,53.088
431,3.270,0.0911,14201,626,3,52.552
432,3.311,0.0920,14201,582,2,51.899
433,3.354,0.0966,14201,607,2,51.236
434,3.420,0.0944,14202,582,2,50.247
435,3.448,0.10387,14201,583,2,49.841
436,3.557,0.0931,14200,460,2,48.311
437,3.627,0.7844,14201,562,2,47.379
438,3.674,0.0714,14201,588,2,46.773
439,3.787,0.0852,14201,551,2,45.378
440,3.814,0.0865,14201,575,2,45.056
441,3.893,0.0802,14200,586,2,44.142
442,4.114,0.0951,14201,595,2,41.774
443,4.376,0.0813,14201,571,2,39.273
444,4.456,0.0922,14200,574,2,38.565
445,4.498,0.0752,14201,530,2,38.208
446,4.545,0.0880,14201,575,2,37.810
447,4.675,0.0802,14200,544,2,36.761
448,4.744,0.0884,14201,576,2,36.226
449,4.793,0.0953,14200,577,2,35.857
450,4.817,0.0863,14201,560,2,35.679
451,4.822,0.1040,14202,584,2,35.642
452,4.828,0.0875,14201,535,2,35.596
453,4.874,0.0846,14200,580,2,35.261
454,4.961,0.1001,14201,581,2,34.642
455,0.465,0.0970,14203,1253,5,385.823
456,0.578,0.0957,14202,1157,4,297.260
457,0.773,0.1004,14201,1037,4,222.276
458,0.879,0.0861,14201,1073,4,195.480
459,0.961,0.0949,14202,1114,4,178.796
460,0.990,0.0875,14202,1115,4,173.554
461,1.154,0.0999,14202,1276,4,148.892
462,1.160,0.0841,14201,1125,4,148.121
